UA5108	Clarksburg-(CKB)	12:00-pm	En-Route-Delayed
AA1106	Dallas-(DFW)	12:00-pm	En-Route-On-time
GF4395	Dallas-(DFW)	12:00-pm	En-Route-On-time
BA4437	Dallas-(DFW)	12:00-pm	En-Route-On-time
QR2418	Dallas-(DFW)	12:00-pm	En-Route-On-time
3E2107	Mason-City-(MCW)	12:00-pm	En-Route
AA9787	Roswell-(ROW)	12:00-pm	En-Route-On-time
AA846	Charlotte-(CLT)	12:05-pm	En-Route-On-time
BA1925	Charlotte-(CLT)	12:05-pm	En-Route-On-time
AA2095	Philadelphia-(PHL)	12:10-pm	En-Route-On-time
UA5061	Lewisburg-(LWB)	12:11-pm	En-Route-On-time
AA335	Miami-(MIA)	12:11-pm	Canceled
DL4652	New-York-(JFK)	12:15-pm	En-Route-On-time
DL4652	New-York-(JFK)	12:15-pm	En-Route-On-time
KE7206	New-York-(JFK)	12:15-pm	En-Route-On-time
VS2052	New-York-(JFK)	12:15-pm	En-Route-On-time
AZ3388	New-York-(JFK)	12:15-pm	En-Route-On-time
KL5623	New-York-(JFK)	12:15-pm	En-Route-On-time
AF2461	New-York-(JFK)	12:15-pm	En-Route-On-time
NK6	Fort-Lauderdale-(FLL)	12:20-pm	En-Route-On-time
1I639	Reno-(RNO)	12:24-pm	En-Route
JL9	Tokyo-(HND)	12:25-pm	En-Route-On-time
AA8404	Tokyo-(HND)	12:25-pm	En-Route-On-time
KE38	Seoul-(ICN)	12:25-pm	En-Route-On-time
DL7862	Seoul-(ICN)	12:25-pm	En-Route-On-time
UA5085	Cape-Girardeau-(CGI)	12:35-pm	En-Route-On-time
Y4955	Mexico-City-(MEX)	12:52-pm	Scheduled-On-time
F96955	Mexico-City-(MEX)	12:52-pm	Scheduled-On-time
BR627	Osaka-(KIX)	01:00-pm	Scheduled
9K1152	Quincy-(UIN)	01:14-pm	Scheduled-On-time
AA8349	Quincy-(UIN)	01:14-pm	Scheduled
DL982	Atlanta-(ATL)	01:15-pm	Scheduled
DL982	Atlanta-(ATL)	01:15-pm	Scheduled
WS6696	Atlanta-(ATL)	01:15-pm	Scheduled
KE7132	Atlanta-(ATL)	01:15-pm	Scheduled
KL6465	Atlanta-(ATL)	01:15-pm	Scheduled
VS3291	Atlanta-(ATL)	01:15-pm	Scheduled
AR7057	Atlanta-(ATL)	01:15-pm	Scheduled
AM3429	Atlanta-(ATL)	01:15-pm	Scheduled
AF2186	Atlanta-(ATL)	01:15-pm	Scheduled
AA3020	Bangor-(BGR)	01:15-pm	Scheduled-On-time
AA3389	Birmingham-(BHM)	01:15-pm	Scheduled-On-time
AA1162	Boston-(BOS)	01:15-pm	Scheduled-On-time
QR9005	Boston-(BOS)	01:15-pm	Scheduled-On-time
AA3965	Cedar-Rapids-(CID)	01:15-pm	Canceled
AA1387	Denver-(DEN)	01:15-pm	Scheduled-On-time
GF6758	Denver-(DEN)	01:15-pm	Scheduled-On-time
AA2615	Dallas-(DFW)	01:15-pm	Scheduled-On-time
GF6755	Dallas-(DFW)	01:15-pm	Scheduled-On-time
BA4438	Dallas-(DFW)	01:15-pm	Scheduled-On-time
QR2823	Dallas-(DFW)	01:15-pm	Scheduled-On-time
AA4431	Indianapolis-(IND)	01:15-pm	Scheduled-On-time
QF4630	Indianapolis-(IND)	01:15-pm	Scheduled-On-time
BA4765	Indianapolis-(IND)	01:15-pm	Scheduled-On-time
AS4225	Indianapolis-(IND)	01:15-pm	Scheduled-On-time
AA2183	New-Orleans-(MSY)	01:15-pm	Scheduled-On-time
BA4449	New-Orleans-(MSY)	01:15-pm	Scheduled-On-time
QF4657	New-Orleans-(MSY)	01:15-pm	Scheduled-On-time
GF4297	New-Orleans-(MSY)	01:15-pm	Scheduled-On-time
AS4081	New-Orleans-(MSY)	01:15-pm	Scheduled-On-time
UA5048	Staunton-(SHD)	01:15-pm	Scheduled-On-time
AA3946	Syracuse-(SYR)	01:15-pm	Scheduled-On-time
AS4148	Syracuse-(SYR)	01:15-pm	Scheduled-On-time
CI5147	Anchorage-(ANC)	01:20-pm	Scheduled
AA3039	Baltimore-(BWI)	01:20-pm	Scheduled-On-time
AA3589	Manhattan-(MHK)	01:20-pm	Canceled
AA4137	Minneapolis-(MSP)	01:20-pm	Scheduled-On-time
AA4137	Minneapolis-(MSP)	01:20-pm	Scheduled-On-time
